make_model,year,price_usd,price_som,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link
Toyota Camry,2010 г.,$ 13 500,1 178 955 сом,автомат,серебристый,седан,3.5,бензин,руль слева,232 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e793460f5f1582525510
Toyota Camry,2014 г.,$ 14 000,1 222 620 сом,автомат,серый,седан,2.5,бензин,руль слева,154 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-63e772719fdfe440127315
Chevrolet Spark,2016 г.,$ 7 800,681 174 сом,вариатор,синий,хэтчбек 5 дв.,1,бензин,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-63e73d2f4d2ba190752611
Hyundai Sonata,2018 г.,$ 14 500,1 266 285 сом,,серебристый,седан,автомат,газ,руль слева,200 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-63e72f36d7713978138170
Kia Morning,2018 г.,$ 10 000,873 300 сом,автомат,белый,хэтчбек 5 дв.,1,бензин / газ,руль слева,68 000 км,Бишкек,https://www.mashina.kg/details/kia-morning-63e715e9e9838083967067
Honda Civic,2009 г.,$ 10 200,890 766 сом,автомат,серый,седан,1.8,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/honda-civic-63e7d85e635b7333689787
Subaru Tribeca,2006 г.,$ 7 000,611 310 сом,автомат,серый,внедорожник 5 дв.,3,бензин,руль слева,112 465 км,Бишкек,https://www.mashina.kg/details/subaru-tribeca-63e7d55600a50135562577
Mazda Bongo Friendee,2005 г.,$ 4 924,430 000 сом,автомат,черный,минивэн,2,бензин,руль справа,256 385 км,Бишкек,https://www.mashina.kg/details/mazda-bongo-friendee-63e7d6b9d623d767417734
Kia Rio,2014 г.,$ 5 999,523 893 сом,механика,белый,седан,1.4,бензин,руль слева,412 000 км,Бишкек,https://www.mashina.kg/details/kia-rio-63e7d3f59f662535242707
Mazda 2,2005 г.,$ 4 008,350 000 сом,автомат,серебристый,хэтчбек 5 дв.,1.4,бензин,руль слева,139 000 км,Бишкек,https://www.mashina.kg/details/mazda-2-63e7cf807c22a604792889
Subaru Legacy,2006 г.,$ 6 600,576 378 сом,автомат,белый,седан,2,бензин,руль справа,,Бишкек,https://www.mashina.kg/details/subaru-legacy-63e7d16dcd383676718047
Toyota Crown,2006 г.,$ 11 800,1 030 494 сом,автомат,белый,седан,3.5,бензин,руль справа,210 000 км,Бишкек,https://www.mashina.kg/details/toyota-crown-63e6920f69b5c280206166
Mercedes-Benz CLS,2005 г.,$ 11 800,1 030 494 сом,автомат,серебристый,седан,3.5,бензин,руль слева,143 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-cls-63e7c5a87b103153765407
