make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date
Hyundai Sonata,2013 г.,$ 10 500,автомат,черный,седан,2.4,бензин,руль слева,92 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fd9414e023a236413071,09_11_2023
Honda Insight,2012 г.,$ 10 500,вариатор,белый,хэтчбек 5 дв.,1.3,гибрид,руль слева,196 303 км,Бишкек,https://www.mashina.kg/details/honda-insight-64fee334624f1403650652,09_11_2023
Lexus ES,2008 г.,$ 12 500,автомат,серебристый,седан,3.5,бензин,руль слева,172 500 км,Бишкек,https://www.mashina.kg/details/lexus-es-64fd5e0798039412835062,09_11_2023
Toyota Alphard,2006 г.,$ 10 000,автомат,белый,минивэн,2.4,бензин,руль справа,110 567 км,Бишкек,https://www.mashina.kg/details/toyota-alphard-64fede529b1f2414429449,09_11_2023
Toyota Prius v (+),2017 г.,$ 15 800,автомат,белый,универсал,1.8,гибрид,руль слева,161 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-v---64fd2cdced861121088075,09_11_2023
Toyota Camry,2005 г.,$ 11 800,автомат,черный,седан,2.4,бензин,руль слева,202 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64feda359c06c269027470,09_11_2023
Hyundai Sonata,2017 г.,$ 18 500,робот,серый,седан,1.6,бензин,руль слева,150 500 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fd9b0b841c7629885757,09_11_2023
Hyundai Sonata,2018 г.,$ 13 900,автомат,черный,седан,2.4,бензин,руль слева,136 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe78c1e6fbe294186721,09_11_2023
BMW X5,2003 г.,$ 10 700,автомат,серебристый,внедорожник 5 дв.,3,дизель,руль слева,222 000 км,Бишкек,https://www.mashina.kg/details/bmw-x5-64fd583c2fbdd774716492,09_11_2023
Toyota Camry,2015 г.,$ 14 999,автомат,черный,седан,2.5,бензин,руль слева,192 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64fdeab654101445904733,09_11_2023
Hyundai Sonata,2017 г.,$ 12 988,автомат,белый,седан,2,бензин,руль слева,156 700 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fdcf7745262540646851,09_11_2023
Mercedes-Benz GL-класс,2006 г.,$ 13 700,автомат,белый,внедорожник 5 дв.,4.7,бензин,руль слева,185 780 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-gl-klass-64fdcc9656729809383762,09_11_2023
Lexus ES,2004 г.,$ 9 500,автомат,черный,седан,3.3,бензин,руль слева,250 000 км,Бишкек,https://www.mashina.kg/details/lexus-es-64fdb61b49c1f721415552,09_11_2023
Honda Accord,2009 г.,$ 10 900,автомат,черный,седан,2.4,бензин,руль слева,174 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-64fda90b6ff74150095943,09_11_2023
Hyundai Sonata,2017 г.,$ 12 700,автомат,белый,седан,2,газ,руль слева,117 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe2b8a7a7b0187039093,09_11_2023
Hyundai Sonata,2018 г.,$ 13 950,автомат,белый,седан,2,газ,руль слева,110 000 км,Бишкек,https://www.mashina.kg/details/hyundai-sonata-64fe9a9a6add9575574308,09_11_2023
Toyota Corolla,2015 г.,$ 14 000,автомат,синий,седан,1.8,бензин,руль слева,10 226 км,Бишкек,https://www.mashina.kg/details/toyota-corolla-64fdca7bccc8c744546345,09_11_2023
Toyota Wish,2005 г.,$ 8 200,автомат,баклажан,компактвэн,1.8,бензин,руль справа,299 999 км,Бишкек,https://www.mashina.kg/details/toyota-wish-64fddd8c05189563350315,09_11_2023
Honda Fit,2008 г.,$ 7 132,автомат,белый,хэтчбек 5 дв.,1.3,бензин,руль справа,290 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-64fdd04682efa897757208,09_11_2023
Daewoo Matiz,2008 г.,$ 5 207,автомат,серый,хэтчбек 5 дв.,0.8,бензин,руль слева,127 000 км,Бишкек,https://www.mashina.kg/details/daewoo-matiz-64fef20989b48653112905,09_11_2023
Honda Stepwgn,2003 г.,$ 11 700,автомат,белый,минивэн,2,бензин,руль справа,130 000 км,Бишкек,https://www.mashina.kg/details/honda-stepwgn-64fda57ce98eb530001798,09_11_2023
Mercedes-Benz CLS,2006 г.,$ 12 800,автомат,черный,седан,5,бензин,руль слева,242 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-cls-64feeb77d41a7624816539,09_11_2023
Kia K5 II Седан,2018 г.,$ 14 900,автомат,черный,седан,2,газ,руль слева,240 000 км,Бишкек,https://www.mashina.kg/details/kia-k5-64feeb40e0c6d510879144,09_11_2023
Honda Fit Aria,2003 г.,$ 7 000,вариатор,белый,седан,1.5,бензин,руль справа,205 000 км,Бишкек,https://www.mashina.kg/details/honda-fit-aria-64feeb2433a27846938713,09_11_2023
