make_model,year,price_usd,transmission,color,body_type,engine_cap,engine_type,wheel_pos,mileage,city,car_link,date,age
Honda Fit,2006,6700,вариатор,фиолетовый,хэтчбек 5 дв.,1.3,бензин,руль справа,212 358 км,Бишкек,https://www.mashina.kg/details/honda-fit-64576d9acb55f838932270,05_07_2023,17
Toyota Prius,2014,12700,автомат,серебристый,хэтчбек 5 дв.,1.8,гибрид,руль слева,150 000 км,Бишкек,https://www.mashina.kg/details/toyota-prius-64574ba6290f7921702088,05_07_2023,9
Lexus ES,2009,17500,автомат,серебристый,седан,3.5,бензин,руль слева,118 500 км,Бишкек,https://www.mashina.kg/details/lexus-es-6457559ea916f469088777,05_07_2023,14
Toyota Camry,2006,9700,автомат,золотистый,седан,2.4,бензин,руль слева,120 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-64571bab093c6217389546,05_07_2023,17
Toyota Camry,2011,12900,автомат,черный,седан,3.5,бензин,руль слева,180 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645617cf1435e054448553,05_07_2023,12
Subaru Outback,2016,17000,вариатор,серебристый,универсал,2.5,бензин,руль слева,102 000 км,Бишкек,https://www.mashina.kg/details/subaru-outback-645712823ded9824303690,05_07_2023,7
Honda Jazz,2006,8300,вариатор,серый,хэтчбек 5 дв.,1.3,бензин,руль слева,310 000 км,Бишкек,https://www.mashina.kg/details/honda-jazz-6456ae872d7b9214289141,05_07_2023,17
Mercedes-Benz E-класс,2004,10900,автомат,черный,седан,5.0,бензин,руль слева,302 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-e-klass-64567c9473cff600236860,05_07_2023,19
Honda Accord,2003,7800,автомат,черный,седан,2.0,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/honda-accord-6456733864e98804193005,05_07_2023,20
Chevrolet Spark,2016,7900,вариатор,белый,хэтчбек 5 дв.,1.0,бензин,руль слева,112 000 км,Бишкек,https://www.mashina.kg/details/chevrolet-spark-645649d5d2b3f022469569,05_07_2023,7
Toyota Camry,2016,15500,автомат,черный,седан,2.5,бензин,руль слева,176 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-6456714f4eabf865570197,05_07_2023,7
Mercedes-Benz S-класс,2003,11200,автомат,белый,седан,5.0,бензин,руль слева,230 000 км,Бишкек,https://www.mashina.kg/details/mercedes-benz-s-klass-6456549ea55e1013443608,05_07_2023,20
Toyota Mark X,2004,8800,автомат,серый,седан,2.5,бензин,руль справа,270 000 км,Бишкек,https://www.mashina.kg/details/toyota-mark-x-6455ca13ec299970069022,05_07_2023,19
Toyota Camry,2009,10800,автомат,белый,седан,2.4,бензин,руль слева,215 000 км,Бишкек,https://www.mashina.kg/details/toyota-camry-645635d3a5afc887066636,05_07_2023,14
